$$Name$AttributeCategory.Name$AttributeDefinition.Name$ProductClassificationAttribute.Name$Product2.StockKeepingUnit$OverriddenProductAttributeDefinition.Name$ProductClassificationAttribute.Name$OverrideContext.Name,AttributeCategory.Name,AttributeDefinition.Name,AttributeNameOverride,CurrencyIsoCode,DefaultValue,Description,DisplayType,HelpText,IsHidden,IsPriceImpacting,IsReadOnly,IsRequired,MaximumCharacterCount,MaximumValue,MinimumCharacterCount,MinimumValue,Name,OverriddenProductAttributeDefinition.$$Name$AttributeCategory.Name$AttributeDefinition.Name$ProductClassificationAttribute.Name$Product2.StockKeepingUnit$OverriddenProductAttributeDefinition.Name$ProductClassificationAttribute.Name$OverrideContext.Name,OverrideContext.Name,Product2.Name,ProductClassificationAttribute.$$ProductClassification.Name$AttributeDefinition.Name$AttributeCategory.Name,Sequence,Status,StepValue,ValueDescription
Training;Training;Training;Training;TRG001;Training,Training,Training,Training,USD,Security Training,,,,false,true,false,false,,,,,Training,,,Basic Training,Training;Training;Training,,Active,,
Storage;Storage;Storage;Storage;CS001;Storage,Storage,Storage,Storage,USD,Cloud Storage Enterprise - 2 TB,,,,false,true,false,true,,,,,Storage,,,Cloud Storage,Cloud Storage;Storage;Storage,,Active,,
Processor;Processor;Windows_Processor;Processor;LP001;Processor,Processor,Windows_Processor,Processor,USD,i5-CPU 4.4GHz,,,,false,true,false,true,,,,,Processor,,,Laptop,Computer;Windows_Processor;Processor,,Active,,
Wireless;Connection Type;Wireless;Wireless;KB001;Wireless,Connection Type,Wireless,Wireless,USD,true,,,,false,false,false,false,,,,,Wireless,,,Keyboard,Keyboard;Wireless;Connection Type,,Active,,
Storage;Storage;Storage;Storage;LP001;Storage,Storage,Storage,Storage,USD,SSD Hard Drive 256GB,,,,false,false,false,true,,,,,Storage,,,Laptop,Computer;Storage;Storage,,Active,,
Memory;Memory;Memory;Memory;LP001;Memory,Memory,Memory,Memory,USD,RAM 8GB,,,,false,false,false,true,,,,,Memory,,,Laptop,Computer;Memory;Memory,,Active,,
Graphics;Graphics;Graphics;Graphics;LP001;Graphics,Graphics,Graphics,Graphics,USD,Intel Iris Xe Graphics,,,,false,true,false,false,,,,,Graphics,,,Laptop,Computer;Graphics;Graphics,,Active,,
Display;Display;Display;Display;LP001;Display,Display,Display,Display,USD,1080p Built-in Display,,,,false,true,false,true,,,,,Display,,,Laptop,Computer;Display;Display,,Active,,
Printer Type;Printer;Printer;Printer Type;PRN001;Printer Type,Printer,Printer,Printer Type,USD,Laser,,,,false,true,false,false,,,,,Printer Type,,,Printer,Printer;Printer;Printer,,Active,,
Paper Size;Paper;Paper Size;Paper Size;PP001;Paper Size,Paper,Paper Size,Paper Size,USD,A4,,,,false,false,false,false,,,,,Paper Size,,,Printer Paper,Paper;Paper Size;Paper,,Active,,
Screen Size;Display;Display_Size;Screen Size;LP001;Screen Size,Display,Display_Size,Screen Size,USD,13 Inch,,,,false,true,false,true,,,,,Screen Size,,,Laptop,Computer;Display_Size;Display,,Active,,
Display;Display;Display;Display;MO001;Display,Display,Display,Display,USD,1080p Built-in Display,,,,false,true,false,true,,,,,Display,,,Monitor,Monitor;Display;Display,,Active,,
Screen Size;Display;Display_Size;Screen Size;MO001;Screen Size,Display,Display_Size,Screen Size,USD,24 Inch,,,,false,true,false,true,,,,,Screen Size,,,Monitor,Monitor;Display_Size;Display,,Active,,
Wireless;Connection Type;Wireless;Wireless;MOU001;Wireless,Connection Type,Wireless,Wireless,USD,false,,,,false,true,false,false,,,,,Wireless,,,Mouse,Mouse;Wireless;Connection Type,,Active,,
Support Level;Support;Support_Level;Support Level;SP001;Support Level,Support,Support_Level,Support Level,USD,Premium Support,,,,false,true,false,false,,,,,Support Level,,,Support,Support;Support_Level;Support,,Active,,
