Name,ProductCode,StockKeepingUnit,UsageModelType
Antivirus,AV001,AV001,
Desktop,DS001,DS001,
Keyboard,KB001,KB001,
Cloud Storage,CS001,CS001,
Laptop,LP001,LP001,
Laptop Basic Bundle,LB001,LB001,
Laptop Care Package,LCP001,LCP001,
Laptop Pro Bundle,LPB001,LPB001,
Monitor,MO001,MO001,
Mouse,MOU001,MOU001,
Printer,PRN001,PRN001,
Printer Bundle,PB001,PB001,
Printer Paper,PP001,PP001,
Support,SP001,SP001,
Basic Training,TRG001,TRG001,
Warranty,W001,W001,
USB C multiport adapter hub with 4K HDMI,USB01,USB01,
Headset,HDS001,HDS001,
Training Platform Package,TPP01,TPP01,
Machine Learning Model Training,LLMTRG001,LLMTRG001,
Udemy Access,UA001,UA001,
Skill Development Package,SDP001,SDP001,
AI Specialist Certification,ASTCERT001,ASTCERT001,
Advanced Training,ATRG001,ATRG001,
AI Specialist Training,APTRG001,APTRG001,
Admin Certification,ACERT001,ACERT001,
Developer Certification,DCERT001,DCERT001,
Specialized Certifications,CERT007,CERT007,
LLM Certification,LLMCERT001,LLMCERT001,
Quip,QP001,QP001,
Google Workspace,GW001,GW001,
GPT for workspace,GPTW001,GPTW001,
Lucidchart,LCD001,LCD001,
Hardware Maintenance,MAIN0098,MAIN0098,
Slack Support,SLKDPP007,SLKDPP007,
Slack Training,SLKDPP008,SLKDPP008,
Slack,SLKSRC001,SLKSRC001,
Slack Sandbox,SLKDPP009,SLKDPP009,
Professional Certifications,PCERT001,PCERT001,
Laptop Bag,LBG001,LBG001,
External Hard Drive,EHD009,EHD009,
Figma Subscription,FIG001,FIG001,
Podcast Subscription,PS001,PS001,
Noise-Canceling Headphones,NCH025,NCH025,
Laptop Stand,LPST001,LPST001,
Laptop Productivity Bundle,LPB002,LPB002,
AT&T Mobile Plan,ATTMB001,ATTMB001,Anchor
Cloud Storage Pro,CLOUD003,CLOUD003,Anchor
API Access Premium,CLOUD001,CLOUD001,Anchor
Quickbooks Online,QBO0021,QBO0021,
Data Access Basic,CLOUD002,CLOUD002,Anchor
Printer Maintenance,PM002,PM002,
Security Systems Surveillance,SSS001,SSS001,
EasyDye,TIM67542E,TIM67542E,
Fluid Film Corrosion Inhibitor,TIM12367,TIM12367,
Propylene Glycol,TIM235A7,TIM235A7,
Data Center Bundle,TIMB893AB45,TIMB893AB45,
Kyocera Thermal Compound,KTC677R,KTC677R,
Purified Aluminium Powder,PUP001A45,PUP001A45,
Vaseline Gel,VIL8899089,VIL8899089,
Professional Services,ED001,ED001,
SmartBytes Edu Enterprise,CLOUD004,CLOUD004,Anchor
Slack Yearly Subscription,SLKSRC002,SLKSRC002,
Laptop Accessories,LA001,LA001,
AT&T Mobile Bundle,ATTM001,ATTM001,
Office 365,OF001,OF001,
AT&T Add On for SMS,ATTSMS07,ATTSMS07,Pack
API Access Premium Definition Product,DEF001,DEF001,
Data Storage,CO478,CO478,
API Calls,CO479,CO479,
Courses,CO480,CO480,
Usage Test,TEST-USG,TEST-USG,
