"Id","DoesAutoRenewAssetByDefault","Name","PricingTerm","PricingTermUnit","SellingModelType","Status"
"U9JHQWYRZTNZPUFGBK","false","Evergreen - Quarterly","1","Quarterly","Evergreen","Active"
"4NKYUIOJ90UH0AZJHN","false","Evergreen - Semi-Annual","1","Semi-Annual","Evergreen","Active"
"CGEK6OJVBX882BFC8S","false","Evergreen Annual","1","Annual","Evergreen","Active"
"JN9VDCQLDTAFSYIHZR","false","Evergreen Monthly","1","Months","Evergreen","Active"
"MTIGJ5BII7KB4LLRDP","false","One-Time","#N/A","#N/A","OneTime","Active"
"06FQ26DDUCK97TG2TS","false","Term Annual","1","Annual","TermDefined","Active"
"TUWQG5XWFMSXJR3AI5","false","Term Based - Quarterly","1","Quarterly","TermDefined","Active"
"POSTGXGZ2NISV6G3EX","false","Term Based - Semi-Annual","1","Semi-Annual","TermDefined","Active"
"D6A3MT1ZS3IR7L1VWZ","false","Term Monthly","1","Months","TermDefined","Active"
"ID0000000000000001","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000002","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000003","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000004","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
"ID0000000000000005","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A"
